valid
表          CJK_UNIFIED_IDEOGRAPHS (U+8868)
ポ          KATAKANA LETTER PO (U+30DD)
あ          HIRAGANA LETTER A (U+3042)
A           LATIN CAPITAL LETTER A (U+0041)
鷗          CJK_UNIFIED_IDEOGRAPHS (U+9DD7)
Œ           LATIN SMALL LIGATURE OE (U+0153) 
é           LATIN SMALL LETTER E WITH ACUTE (U0E9)
Ｂ           FULLWIDTH LATIN CAPITAL LETTER B (UF22)
逍          CJK_UNIFIED_IDEOGRAPHS (U+900D)
Ü           LATIN SMALL LETTER U WITH DIAERESIS (U0FC)
ß           LATIN SMALL LETTER SHARP S (U+00DF)
ª           FEMININE ORDINAL INDICATOR (U+00AA)
ą           LATIN SMALL LETTER A WITH OGONEK (U105)
ñ           LATIN SMALL LETTER N WITH TILDE (U0F1)
丂          CJK_UNIFIED_IDEOGRAPHS (U+4E02)
㐀          CJK Ideograph Extension A, First (U400)
𠀀          CJK Ideograph Extension B, First (U+20000)
